pais,fecha,anio,nota_no,fuente,url_pagina,url_pdf,decreto,tipo,base_legal,causa,plazo_dias,alcance,derechos,ocr_chars
Paraguay,2020-12-21,2020,989-20-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_989-20-MPP-OEA.pdf,Decreto N* 4455,estado de emergencia,Art. 33 Constitución,desastre/salud,,nacional,"Humanos, a fin de remitir en anexo para los fines pertinentes, el texto de la última disposición emitida por la Presidencia de la República del Paraguay en el m",10303
Ecuador,2020-12-22,2020,4-2-474/2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-474-2020.pdf,Decreto Ejecutivo No. 1217,estado de excepción,Art. 3 Constitución,desastre/salud; orden público,,nacional,"Internacional — y, en cumplimiento con lo establecido en el artículo 27, inciso 3, de la Convención Americana de Derechos Humanos, tiene a honra remitir para su",10489
República Dominicana,2020-12-23,2020,MPRD-OEA 1717 -2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_1717-2020.pdf,,estado de emergencia,Art. 128 Constitución,desastre/salud,45,nacional,"Humanos, tiene a bien notificar que mediante el Decreto Núm",9249
Chile,2020-12-24,2020,131-2020,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Chile_nota_No_131-2020.pdf,decreto supremo N* 230,estado de excepción,,desastre/salud,,nacional,,12530
Paraguay,2021-01-11,2021,016-21-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_16-21-MPP-OEA.pdf,Decreto N.* 3442,estado de emergencia,Art. 33 Constitución,desastre/salud,,nacional,"Humanos, a fin de remitir en anexo para los fines pertinentes, el texto de la última disposición emitida por la Presidencia de la República del Paraguay en el m",10269
Argentina,2021-01-12,2021,007,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_007-2021.pdf,Decreto N* 1033/20,,,desastre/salud,,nacional,,12516
Ecuador,2021-01-13,2021,4-2-005/2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-005-2021.pdf,Decreto Ejecutivo No. 1217,,,,,,"Internacional — y, en cumplimiento con lo establecido en el artículo 27, inciso 3, de la Convención Americana de Derechos Humanos y en alcance a la Nota 4-2-474",1183
Guatemala,2021-01-19,2021,NV-OEA-M4-054-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_NV-OEA-M4-054-2021.pdf,,estado de prevención,,desastre/salud; seguridad/crimen,,"subnacional: Izabal, Zacapa, Chiguimula, Jutiapa, El Progreso, Petén y","Humanos, para hacer de su conocimiento que el Presidente de la República en Consejo de Ministros emitió el Decreto Gubernativo No",14377
República Dominicana,2021-01-19,2021,MPRD-OEA 0018-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0018-2021.pdf,,estado de emergencia,Art. 128 Constitución,desastre/salud,45,,"Internacional - y en cumplimiento a lo establecido en el artículo 27, inciso 3 de la Convención Americana sobre Derechos Humanos, tiene a bien notificar la emis",8902
República Dominicana,2021-01-27,2021,MPRD-OEA 0056-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0056-2021.pdf,,estado de emergencia,Art. 128 Constitución,desastre/salud,45,,"Internacional- y en cumplimiento de lo establecido en el artículo 27, inciso 3 de la Convención Americana de Derechos Humanos, tiene a bien notificar la emisión",7714
Perú,2021-01-29,2021,7-5-M/016,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-016-2021.pdf,Decreto Supremo N2,estado de emergencia,Art. 2 Constitución,desastre/salud; seguridad/crimen,,nacional,"Internacional- y tiene a bien informar que mediante Decreto Supremo N2 008-2021-PCM, publicado el 27 de enero de 2020, se ha dispuesto la prórroga del Estado de",27490
Argentina,2021-02-01,2021,018,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_018-2021.pdf,Decreto N* 297/20,,,desastre/salud,,,,12258
Paraguay,2021-02-01,2021,075-21-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_75-21-MPP-OEA.pdf,DECRETO N* 4798,estado de emergencia,Art. 33 Constitución,desastre/salud,,nacional,"Humanos, a fin de remitir en anexo para los fines pertinentes, el texto de la última disposición emitida por la Presidencia de la República del Paraguay en el m",7963
República Dominicana,2021-02-17,2021,MPRD-OEA 0149-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0149-2021.pdf,Decreto No. 61-21,estado de emergencia,Art. 128 Constitución,desastre/salud,45,,"Internacional- y en cumplimiento de los establecido en el artículo 27, inciso 3 de la Convención Americana de Derechos Humanos, tiene a bien notificar la emisió",4813
Paraguay,2021-02-22,2021,1555-21-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_1555-21-MPP-OEA.pdf,DECRETO N* 4880,estado de emergencia,Art. 33 Constitución,desastre/salud,,nacional,"Humanos, a fin de remitir en anexo para los fines pertinentes, el texto de la última disposición emitida por la Presidencia de la República del Paraguay en el m",8206
República Dominicana,2021-02-26,2021,MPRD-OEA 0201-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0201-2021.pdf,Decreto No.95-21,estado de excepción,Art. 128 Constitución,desastre/salud,45,,"Internacional- y en cumplimiento de los establecido en el artículo 27, inciso 3 de la Convención Americana de Derechos Humanos, tiene a bien notificar la emisi",7509
República Dominicana,2021-03-02,2021,MPRD-OEA 0226-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0226-2021.pdf,decreto No.133-,estado de emergencia,Art. 128 Constitución,desastre/salud,45,,"Internacional- y en cumplimiento de los establecido en el artículo 27, inciso 3 de la Convención Americana de Derechos Humanos, tiene a bien notificar la emisió",8243
Argentina,2021-03-08,2021,051,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_051-2021.pdf,Decreto N* 297/20,,,desastre/salud,,,,8383
Argentina,2021-03-15,2021,055,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_055-2021.pdf,Decreto N* 167/21,,,desastre/salud,,,,7968
Paraguay,2021-03-19,2021,252-21-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_252-21-MPP-OEA.pdf,DECRETO N* 4880/2021,estado de emergencia,,desastre/salud,,nacional,"Humanos, a fin de remitir en anexo para los fines pertinentes, textos de las últimas disposiciones emitidas por la Presidencia de la República del Paraguay en e",7164
República Dominicana,2021-03-23,2021,MPRD-OEA 0309-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0309-2021.pdf,decreto No.171-,estado de emergencia,Art. 128 Constitución,desastre/salud,45,,"Internacional- y en cumplimiento de los establecido en el artículo 27, inciso 3 de la Convención Americana de Derechos Humanos, tiene a bien notificar la emisió",5697
Paraguay,2021-03-25,2021,280-21-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_280-21-MPP-OEA.pdf,DECRETO N* 5053,estado de emergencia,Art. 4 Constitución,desastre/salud,,nacional,"Humanos, a fin de remitir en anexo para los fines pertinentes, texto de la última disposición emitida por la Presidencia de la República del Paraguay en el marc",8459
Ecuador,2021-04-02,2021,4-2-095/2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Ecuador_nota_No_4-2-095-2021.pdf,Decreto Ejecutivo No. 1282,estado de excepción,Art. 1 Constitución,desastre/salud; orden público,,"subnacional: Azuay, El Oro, Esmeraldas, Guayas, Loja, Manabí, Pichincha y Santo Domingo de","Internacional — y, en cumplimiento con lo establecido en el artículo 27, inciso 3, de la Convención Americana de Derechos Humanos, tiene a honra remitir para su",11071
Argentina,2021-04-09,2021,074,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_074-2021.pdf,Decreto N* 167/21,,,desastre/salud,,,,8518
Guatemala,2021-04-14,2021,NV-OEA-M4-288-2021,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_NV-OEA-M4-288-2021.pdf,,estado de prevención,,desastre/salud,,,"Humanos, para hacer de su conocimiento que el Presidente de la República en Consejo de Ministros emitió el Decreto Gubernativo No",4395
Argentina,2021-04-19,2021,081,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_081-2021.pdf,Decreto N* 520/20,,,desastre/salud,,,,8171
Paraguay,2021-04-19,2021,403-21-MPP-OEA,notif_oea_art27,,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_403-21-MPP-OEA.pdf,DECRETO N* 5071,estado de emergencia,Art. 33 Constitución,desastre/salud,,nacional,"Humanos, a fin de remitir en anexo para los fines pertinentes, los textos de las últimas disposiciones emitidas por la Presidencia de la República del Paraguay",8222
