pais,pais_en,fecha,anio,tipo_evento,regimen,regimen_origen,cn_ref,url_pdf,fuente,texto,snippet
El Salvador,El Salvador,2020-04-16,2020,extensión,estado de emergencia,directo,C.N.138.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.138.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of El Salvador a notification dated 16 April 2020, made under article 4 (3) of the above Covenant, regarding the extension of the national state of emergency, public calamity and natural disaster for a further duration of four days that will expire on 16 April 2020, pursuant to Legislative Decree No. 622 of 12 April 2020. (See C.N.138.2020 .TREATIES-IV.4 of 24 April 2020 for the text of the notification.)","The Secretary-General received from the Government of El Salvador a notification dated 16 April 2020, made under article 4 (3) of the above Covenant, regarding the extension of the national state of emergency, public cal"
El Salvador,El Salvador,2020-04-17,2020,extensión,estado de emergencia,directo,C.N.143.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.143.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of El Salvador a notification dated 17 April 2020, made under article 4 (3) of the above Covenant, regarding the extension of the national state of emergency, public calamity and natural disaster for a further duration of fifteen days until 1 May 2020, pursuant to Legislative Decree No. 631 of 16 April 2020. (See C.N.143.2020 .TREATIES-IV.4 of 27 April 2020 for the text of the notification.)","The Secretary-General received from the Government of El Salvador a notification dated 17 April 2020, made under article 4 (3) of the above Covenant, regarding the extension of the national state of emergency, public cal"
Colombia,Colombia,2020-04-20,2020,declaración,estado de emergencia,directo,C.N.141.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.141.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Colombia a notification dated 17 April 2020, made under article 4 (3) of the above Covenant, regarding the expiration, with effect from 16 April 2020, of the state of emergency declared in Decree no. 417 of 17 March 2020. (See C.N.141.2020 .TREATIES-IV.4 of 20 April 2020 for the text of the notification.)","The Secretary-General received from the Government of Colombia a notification dated 17 April 2020, made under article 4 (3) of the above Covenant, regarding the expiration, with effect from 16 April 2020, of the state of"
Perú,Peru,2020-04-27,2020,extensión,estado de emergencia,heredado,C.N.152.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.152.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Peru a notification dated 25 April 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency for a period of fourteen (14) calendar days, from 27 April 2020 to 10 May 2020, by Supreme Decree No. 075-2020-PCM of 25 April 2020. (See C.N.152.2020 .TREATIES-IV.4 of 1 May 2020 for the text of the notification.)","The Secretary-General received from the Government of Peru a notification dated 25 April 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency for a period of fo"
Perú,Peru,2020-04-27,2020,extensión,estado de emergencia,heredado,C.N.166.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.166.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Peru a notification dated 10 May 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency for a period of fourteen (14) calendar days, from 11 May 2020 to 24 May 2020, by Supreme Decree No. 083-2020-PCM of 10 May 2020. (See C.N.166.2020 .TREATIES-IV.4 of 18 May 2020 for the text of the notification.)","The Secretary-General received from the Government of Peru a notification dated 10 May 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency for a period of four"
Guatemala,Guatemala,2020-04-30,2020,extensión,estado de emergencia,directo,C.N.155.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.155.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Guatemala a notification dated 29 April 2020, made under article 4 (3) of the above Covenant, regarding the extension of a state of emergency in the entire territory of Guatemala for an additional period of thirty days by Governement Order No. 8 dated 20 April 2020. (See C.N.155.2020 .TREATIES-IV.4 of 7 May 2020 for the text of the notification.)","The Secretary-General received from the Government of Guatemala a notification dated 29 April 2020, made under article 4 (3) of the above Covenant, regarding the extension of a state of emergency in the entire territory "
Colombia,Colombia,2020-05-07,2020,declaración,estado de emergencia,directo,C.N.163.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.163.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Colombia a notification dated 7 May 2020, made under article 4 (3) of the above Covenant, regarding the state of emergency throughout the territory of Colombia for a period of 30 days in effect from 6 May to 4 June 2020, by Decree No. 637 of 2020. (See C.N.163.2020 .TREATIES-IV.4 of 15 May 2020 for the text of the notification.)","The Secretary-General received from the Government of Colombia a notification dated 7 May 2020, made under article 4 (3) of the above Covenant, regarding the state of emergency throughout the territory of Colombia for a "
El Salvador,El Salvador,2020-05-07,2020,extensión,estado de emergencia,directo,C.N.161.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.161.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of El Salvador a notification dated 7 May 2020, made under article 4 (3) of the above Covenant, regarding the extension of the national state of emergency, public calamity and natural disaster from 2 to 16 May 2020 pursuant to Legislative Decree No. 634 of 30 April 2020. (See C.N.161.2020 .TREATIES-IV.4 of 14 May 2020 for the text of the notification.)","The Secretary-General received from the Government of El Salvador a notification dated 7 May 2020, made under article 4 (3) of the above Covenant, regarding the extension of the national state of emergency, public calami"
Guatemala,Guatemala,2020-05-17,2020,otro,estado de emergencia,heredado,C.N.174.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.174.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Guatemala a notification dated 15 May 2020, made under article 4 (3) of the above Covenant, regarding the measures restricting the application of articles 12 and 21 in the entire territory of Guatemala from Friday, 15 May 2020, at midnight to Monday, 18 May 2020, at 5 a.m. by Presidential Regulations dated 14 May 2020. (See C.N.174.2020 .TREATIES-IV.4 of 28 May 2020 for the text of the notification.)","The Secretary-General received from the Government of Guatemala a notification dated 15 May 2020, made under article 4 (3) of the above Covenant, regarding the measures restricting the application of articles 12 and 21 i"
El Salvador,El Salvador,2020-05-21,2020,extensión,estado de emergencia,directo,C.N.180.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.180.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of El Salvador a notification dated 21 May 2020, made under article 4 (3) of the above Covenant, regarding the extension of the national state of emergency, public calamity and natural disaster declared over its national territory from 19 May 2020 for up to fifteen days pursuant to Executive Decree No. 19 of 19 May 2020. (See C.N.180.2020 .TREATIES-IV.4 of 3 June 2020 for the text of the notification.)","The Secretary-General received from the Government of El Salvador a notification dated 21 May 2020, made under article 4 (3) of the above Covenant, regarding the extension of the national state of emergency, public calam"
El Salvador,El Salvador,2020-05-24,2020,declaración,estado de emergencia,heredado,C.N.182.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.182.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of El Salvador a notification dated 24 May 2020, made under article 4 (3) of the above Covenant, informing that by decision no. 63-2020 of 22 May 2020, the Constitutional Chamber of the Supreme Court of Justice of the Republic of El Salvador ordered the suspension of Executive Decree No. 19 of 19 May 2020 and the legal reviviscence of Legislative Decree No. 593 of 14 March 2020 which shall be in force until 29 May 2020, unless a new law is adopted before this date. (See C.N.182.2020 .TREATIES-IV.4 of 5 June 2020 for the text of the notification.)","The Secretary-General received from the Government of El Salvador a notification dated 24 May 2020, made under article 4 (3) of the above Covenant, informing that by decision no. 63-2020 of 22 May 2020, the Constitutiona"
Perú,Peru,2020-05-25,2020,extensión,estado de emergencia,heredado,C.N.181.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.181.2020-Eng.pdf,ONU_PIDCP_art4,"The Secretary-General received from the Government of Peru a notification dated 24 May 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency from 25 May 2020 to 30 June 2020 by Supreme Decree No. 094-2020-PCM of 23 May 2020. (See C.N.181.2020 .TREATIES-IV.4 of 2 June 2020 for the text of the notification.)","The Secretary-General received from the Government of Peru a notification dated 24 May 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency from 25 May 2020 to "
