pais,pais_en,fecha,anio,tipo_evento,regimen,regimen_origen,cn_ref,url_pdf,fuente,texto,snippet
Chile,Chile,1976-09-07,1976,declaración,estado de sitio,directo,,,ONU_PIDCP_art4,"[Chile] has been under a state of siege for reasons of internal defence since 11 March 1976; the state of siege was legally proclaimed by Legislative Decree No. 1.369. The proclamation was made in accordance with the constitutional provisions concerning state of siege, which have been in force since 1925, in view of the inescapable duty of the government authorities to preserve public order and the fact that there continue to exist in Chile extremist seditious groups whose aim is to overthrow the established Government. As a consequence of the proclamation of the state of siege, the rights referred to in articles 9, 12, 13, 19 and 25 (b) of the Covenant on Civil and Political Rights have been restricted in Chile.",[Chile] has been under a state of siege for reasons of internal defence since 11 March 1976; the state of siege was legally proclaimed by Legislative Decree No. 1.369. The proclamation was made in accordance with the con
Uruguay,Uruguay,1979-07-30,1979,otro,,,,,ONU_PIDCP_art4,"[The Government of Uruguay] has the honour to request that the requirement laid down in article 4 (3) of the International Covenant on Civil and Political Rights should be deemed to have been formally fulfilled with regard to the existence and maintenance in Uruguay of a public emergency as referred to in article 4 (1). This emergency situation, the nature and consequences of which match the description given in article 4, namely that they threaten the life of the nation, is a matter of universal knowledge, and the present communication might thus appear superfluous in so far as the provision of substantive information is concerned. This issue has been the subject of countless official statements at both the regional and the international level. Nonetheless, [the Government of Uruguay] wishes both to comply formally with the above-mentioned requirement and to reiterate that the emergency measures which it has taken, and which comply strictly with the requirements of article 4 (2), are designed precisely to achieve genuine, effective and lasting protection of human rights, the observance and promotion of which are the essence of our existence as an independent and sovereign nation. Notwithstanding what has been stated above, the information referred to in article 4 (3) concerning the nature and duration of the emergency measures will be provided in more detailed form when the report referred to in article 40 of the Covenant is submitted, so that the scope and evolution of thes",[The Government of Uruguay] has the honour to request that the requirement laid down in article 4 (3) of the International Covenant on Civil and Political Rights should be deemed to have been formally fulfilled with rega
Colombia,Colombia,1980-07-18,1980,fin/levantamiento,estado de sitio,directo,,,ONU_PIDCP_art4,"The Government, by Decree 2131 of 1976, declared that public order had been disturbed and that all of the national territory was in a state of siege, the requirements of the Constitution having been fulfilled, and that in the face of serious events that disturbed the public peace, it had become necessary to adopt extraordinary measures within the framework of the legal régime provided for in the National Constitution for such situations (art. 121 of the National Constitution). The events disturbing the public peace that led the President of the Republic to take that decision are a matter of public knowledge. Under the state of siege (art. 121 of the National Constitution) the Government is empowered to suspend, for the duration of the state of siege, those provisions that are incompatible with the maintenance and restoration of public order. On many occasions the President of the Republic has informed the country of his desire to terminate the state of siege when the necessary circumstances prevail. It should be observed that, during the state of siege in Colombia, the institutional order has remained unchanged, with the Congress and all public bodies functioning normally. Public freedoms were fully respected during the most recent elections, both the election of the President of the Republic and the election of members of elective bodies.","The Government, by Decree 2131 of 1976, declared that public order had been disturbed and that all of the national territory was in a state of siege, the requirements of the Constitution having been fulfilled, and that i"
Colombia,Colombia,1982-10-11,1982,fin/levantamiento,estado de sitio,directo,,,ONU_PIDCP_art4,"By Decree No. 1674 of 9 June 1982, the state of siege was terminated on 20 June of 1982.","By Decree No. 1674 of 9 June 1982, the state of siege was terminated on 20 June of 1982."
Ecuador,Ecuador,1983-05-12,1983,fin/levantamiento,estado de emergencia,directo,,,ONU_PIDCP_art4,"The Government declared the extension of the state of emergency as from 20 to 25 October 1982 by Executive Decree No. 1252 of 20 October 1982 and derogation from article 12 (1) owing to serious disorders brought about by the suppression of subsidies, and termination of the state of emergency by Executive Decree No. 1274 of 27 October 1982",The Government declared the extension of the state of emergency as from 20 to 25 October 1982 by Executive Decree No. 1252 of 20 October 1982 and derogation from article 12 (1) owing to serious disorders brought about by
El Salvador,El Salvador,1983-11-14,1983,extensión,suspensión de garantías,directo,,,ONU_PIDCP_art4,"(Dated 3 November 1983) The Government has declared an extension for a period of 30 days of the suspension of constitutional guarantees by Legislative Decree No. 329 dated 28 October 1983. The constitutional guarantees have been suspended in accordance with article 175 of the Political Constitution because of disruption of public order. In a complimentary notification dated 23 January 1984 and received on 24 January 1984, the Government of El Salvador specified the following: 1) The provisions of the Covenant from which it is derogated are articles 12 and 19 by Decree No. 329 of 28 August 1983, and article 17 (in respect of interference with correspondence); 2) The constitutional guarantees were first suspended by Decree No. 155 dated 6 March 1980, with further extensions of the suspension for a total of 24 months. Decree No. 155 was modified by Decree No. 999 dated 24 February 1982, which expired on 24 March 1982. By Decree No. 1089 dated 20 April 1982, the Revolutionary Government Junta again suspended the constitutional guarantees. By Legislative Decree No. 7 dated 20 May 1982, the Constituent Assembly extended the suspension for an additional period of 30 days. The said Legislative Decree No. 7 was itself extended several times until the adoption of the above-mentioned Decree No. 329 dated 28 October 1983, which took effect on that date. 3) The reasons for the adoption of the initial suspension decree (No. 155 of 6 March 1980) were the same as for the adoption of the subs",(Dated 3 November 1983) The Government has declared an extension for a period of 30 days of the suspension of constitutional guarantees by Legislative Decree No. 329 dated 28 October 1983. The constitutional guarantees h
Ecuador,Ecuador,1984-03-20,1984,declaración,estado de emergencia,heredado,,,ONU_PIDCP_art4,Derogation from articles 9 (1) and (2); 12 (1) and (3); 17; 19 (2) and 21 in the provinces of Napo and Esmeraldas by Executive Decree No. 2511 of 16 March 1984 owing to destruction and sabotage in these areas.,Derogation from articles 9 (1) and (2); 12 (1) and (3); 17; 19 (2) and 21 in the provinces of Napo and Esmeraldas by Executive Decree No. 2511 of 16 March 1984 owing to destruction and sabotage in these areas.
Ecuador,Ecuador,1984-03-29,1984,fin/levantamiento,estado de emergencia,directo,,,ONU_PIDCP_art4,Termination of the state of emergency by Executive Decree No. 2537 of 27 March 1984.,Termination of the state of emergency by Executive Decree No. 2537 of 27 March 1984.
Colombia,Colombia,1984-04-11,1984,declaración,estado de sitio,directo,,,ONU_PIDCP_art4,"(Dated 30 March 1984) The Government of Colombia had declared a breach of the peace and a state of siege in the territory of the Departments of Caquetá, Huila, Meta and Cauca in response to the activities in those Departments of armed groups which wereseeking to undermine the constitutional system by means of repeated publidisturbances. Further to Decree No. 615, Decree Nos. 666, 667, 668, 669 and 670 had been enacted on 21 March 1984 to restrict certainreedoms and to take other measures aimed at restoring public order. (For the provisions which were derogated from, see in fine notification of 8 June 1984 hereinafter.)","(Dated 30 March 1984) The Government of Colombia had declared a breach of the peace and a state of siege in the territory of the Departments of Caquetá, Huila, Meta and Cauca in response to the activities in those Depart"
Colombia,Colombia,1984-06-08,1984,declaración,estado de sitio,directo,,,ONU_PIDCP_art4,"(Dated 7 May 1984) The Government of Colombia indicated that it had, through Decree No. 1038 of 1 May 1984, declared a state of siege in the territory of the Republic of Colombia owing to the assassination in April of the Minister of Justice and to recent disturbances of the public order that occurred in the cities of Bogotá, Cali, Barranquilla, Medellín, Acevedo (Department of Huila), Corinto (Department of Cauca), Sucre and Jordon Bajo (Department of Santander), Giraldo (Department of Antioquia) and Miraflores (Comisaría of Guaviare). Pursuant to the above-mentioned Decree No. 1038,the Government had issued Decrees Nos. 1039 and 1040 of 1 May 1984 and Decree No. 1042 of 2 May 1984, restricting certain freedoms and enacting other measures to restore public order. The Government of Colombia, in a subsequent communication dated 23 November 1984, indicated that the decrees affected the rights referred to in articles 12 and 21 of the Covenant.)","(Dated 7 May 1984) The Government of Colombia indicated that it had, through Decree No. 1038 of 1 May 1984, declared a state of siege in the territory of the Republic of Colombia owing to the assassination in April of th"
El Salvador,El Salvador,1984-06-18,1984,extensión,suspensión de garantías,heredado,,,ONU_PIDCP_art4,"(Dated 14 June 1984) By Legislative Decree No. 28 of 27 January 1984, previous measures were amended to the effect that political parties would be permitted to conduct electoral campaigns, and were thus authorized to engage in partisan campaigning and electoral propaganda activities. The said Decree was extended for successive 30-day periods until the promulgation of Decree No. 97 of 17 May 1984, which rescinded theafore-mentioned change which had allowed political parties to conduct electoral campaigns. The provisions of the Covenant from which it is derogated are articles 12, 19, 17 (in respect of interference with correspondence) and 21 and 22. As regards article 22, the suspension refers to the right of association in general, but does not affect the right to join professional associations (the right to form and join trade unions).","(Dated 14 June 1984) By Legislative Decree No. 28 of 27 January 1984, previous measures were amended to the effect that political parties would be permitted to conduct electoral campaigns, and were thus authorized to eng"
Colombia,Colombia,1984-12-12,1984,fin/levantamiento,estado de sitio,heredado,,,ONU_PIDCP_art4,(Dated 11 December 1984) Termination of derogation from article 21.,(Dated 11 December 1984) Termination of derogation from article 21.
El Salvador,El Salvador,1985-08-02,1985,extensión,ley marcial,directo,,,ONU_PIDCP_art4,"(Dated 31 July 1985) [...] the Government of El Salvador has for successive periods extended martial law by the following legislative decrees: Decrees No. 127 of 21 June 1984, No. 146 of 19 July 1984, No. 175 of 24 August 1984, No. 210 of 18 September 1984, No. 234 of 21 October 1984, No. 261 of 20 November 1984, No. 277 of 14 December 1984, No. 322 of 18 January 1985, No. 335 of 21 February 1985, No. 351 of 14 March 1985, No. 386 of 18 April 1985, No. 10 of 21 May 1985, No. 38 of 13 June 1985, and the most recent, Decree No. 96 of 11 July 1985 which extended the martial law for an additional period of 30 days beyond that date. The provisions of the Covenant that are thus suspended are those of articles 12, 17 (in respect of interference with correspondence) and 19 (2). The notification specifies that the reasons for the suspension of constitutional guarantees continue to be those originally indicated, namely: the need to maintain a climate of peace and tranquility, which had been disturbed through the commission of acts designed to create a state of instability and social unrest which affected the economy and the public peace by persons seeking to obstruct the process of structural change, thus seriously disrupting public order.","(Dated 31 July 1985) [...] the Government of El Salvador has for successive periods extended martial law by the following legislative decrees: Decrees No. 127 of 21 June 1984, No. 146 of 19 July 1984, No. 175 of 24 Augus"
Ecuador,Ecuador,1986-03-17,1986,fin/levantamiento,estado de emergencia,directo,,,ONU_PIDCP_art4,"(Dated 14 March 1986) Declaration of the State of emergency in the provinces of Pichincha and Manabi due to the acts of subversion and armed uprising by a high-ranking officer no longer on active service, backed by extremist groups; thereby derogations from articles 12, 21 and 22, it being understood that no Ecuadorian may be exiled or deported outside the capitals of the provinces or to a region other than the one in which he lives.","(Dated 14 March 1986) Declaration of the State of emergency in the provinces of Pichincha and Manabi due to the acts of subversion and armed uprising by a high-ranking officer no longer on active service, backed by extre"
Ecuador,Ecuador,1986-03-19,1986,declaración,estado de emergencia,directo,,,ONU_PIDCP_art4,(Dated 18 March 1986) End of State of emergency as from 17 March 1986.,(Dated 18 March 1986) End of State of emergency as from 17 March 1986.
Chile,Chile,1986-09-23,1986,declaración,estado de sitio,directo,,,ONU_PIDCP_art4,"(Dated 16 September 1986) By Decree No. 1.037, the Government of Chile declared a state of siege throughout the national territory from 8 September to 6 December 1986, for as long as circumstances warrant. The notification specifies that Chile has been subjected to a wave of terrorist aggression of alarming proportions, that an alarming number of attacks have taken the lives of a significant number of citizens and armed forces personnel, massive stockpiles of weapons were discovered in terrorists hands, and that for the first time in the history of the Republic, a terrorist attack was launched on H.E. the President of the Republic. The notification specifies that the rights set forth in articles 9, 12, 13 and 19 of the Covenant would be derogated from.","(Dated 16 September 1986) By Decree No. 1.037, the Government of Chile declared a state of siege throughout the national territory from 8 September to 6 December 1986, for as long as circumstances warrant. The notificati"
Chile,Chile,1986-10-29,1986,fin/levantamiento,estado de sitio,directo,,,ONU_PIDCP_art4,"(Dated 28 October 1986) Termination of State of siege by Decree No. 1074 of 26 September 1986 in the Eleventh Region and by Decree No. 1155 of 16 October 1986 in the 12th Region (with the exception of the Commune of Punta Arenas), in the Province of Chiloé in the Tenth Region, and in the Province of Parinacota in the First Region.",(Dated 28 October 1986) Termination of State of siege by Decree No. 1074 of 26 September 1986 in the Eleventh Region and by Decree No. 1155 of 16 October 1986 in the 12th Region (with the exception of the Commune of Punt
Chile,Chile,1986-11-20,1986,fin/levantamiento,estado de sitio,directo,,,ONU_PIDCP_art4,"(Dated 20 November 1986) Termination of the state siege in the Provinces of Cardenal Caro in the 6th Region, Arauco in the 8th Region and Palena in the 10th Region.","(Dated 20 November 1986) Termination of the state siege in the Provinces of Cardenal Caro in the 6th Region, Arauco in the 8th Region and Palena in the 10th Region."
Chile,Chile,1987-01-29,1987,fin/levantamiento,estado de sitio,directo,,,ONU_PIDCP_art4,(Dated 20 January 1987) Termination of the state of siege throughout Chile as at 6 January 1987.,(Dated 20 January 1987) Termination of the state of siege throughout Chile as at 6 January 1987.
Panamá,Panama,1987-06-21,1987,declaración,estado de emergencia,directo,,,ONU_PIDCP_art4,"(Dated 11 June 1987) Declaration of the State of emergency throughout the territory of the Republic of Panama. The notification specifies that the state of emergency was declared since, on 9 and 10 June 1987, there were outbreaks of violence, clashes between demonstrators and units of defence forces, and incitement to violence by individuals and political groups resulting in personal injury and considerable material damage. The measure was taken with a view to restoring law and order and safeguarding the life, the dignity and the property of Panamanian nationals and of foreigners living in Panama. The articles of the Covenant being derogated from are articles 12, paragraph 1; 17, with regard to the inviolability of correspondence; 19 and 21.","(Dated 11 June 1987) Declaration of the State of emergency throughout the territory of the Republic of Panama. The notification specifies that the state of emergency was declared since, on 9 and 10 June 1987, there were "
Panamá,Panama,1987-07-01,1987,fin/levantamiento,estado de emergencia,directo,,,ONU_PIDCP_art4,Termination of the State of emergency and reinstatement of all constitutional guarantees as at 30 June 1987.,Termination of the State of emergency and reinstatement of all constitutional guarantees as at 30 June 1987.
Ecuador,Ecuador,1987-10-29,1987,declaración,estado de emergencia,heredado,,,ONU_PIDCP_art4,"(Dated 28 October 1987) Declaration of a state of national emergency throughout the national territory, effective as of 28 October 1987. [Derogation from articles 9 (1) and (2); 12 (1) and (2); 19 (2); and 21.] The notification states that this measure was made necessary as a result of an illegal call for a national strike which would lead to acts of vandalism, offences against persons and property and would disrupt the peace of the State and the proper exercise of the civic rights of Ecuadorians.","(Dated 28 October 1987) Declaration of a state of national emergency throughout the national territory, effective as of 28 October 1987. [Derogation from articles 9 (1) and (2); 12 (1) and (2); 19 (2); and 21.] The notif"
Ecuador,Ecuador,1987-10-30,1987,fin/levantamiento,estado de emergencia,directo,,,ONU_PIDCP_art4,Termination of the state of emergency throughout the national territory as from 0 hour on 29 October 1987.,Termination of the state of emergency throughout the national territory as from 0 hour on 29 October 1987.
Ecuador,Ecuador,1988-06-03,1988,fin/levantamiento,estado de emergencia,directo,,,ONU_PIDCP_art4,"(Dated 1 June 1988) Declaration of a state of national emergency throughout the national territory, effective as of 9 p.m. on 31 May 1988. [Derogation from articles 9 (1) and (2); 12 (1) and (2); 19 (2); and 21.] The notification states that this measure is the necessary legal response to the 24 hour strike called for by the United Workers Front, which would result in acts of vandalism, violation of the security of persons and attacks on public and private property. (Dated 2 June 1988) Termination of the state of emergency throughout the national territory as from 1 June 1988.","(Dated 1 June 1988) Declaration of a state of national emergency throughout the national territory, effective as of 9 p.m. on 31 May 1988. [Derogation from articles 9 (1) and (2); 12 (1) and (2); 19 (2); and 21.] The not"
Chile,Chile,1988-08-31,1988,fin/levantamiento,estado de emergencia,directo,,,ONU_PIDCP_art4,"Termination of the state of emergency and of the state of danger of disturbance of the domestic peace in Chile as from 27 August 1988, [...] thereby bringing to an end all states of ex ception in the country, which is now in a situation of full legal normality.","Termination of the state of emergency and of the state of danger of disturbance of the domestic peace in Chile as from 27 August 1988, [...] thereby bringing to an end all states of ex ception in the country, which is no"
Venezuela,Venezuela (Bolivarian Republic of),1989-04-12,1989,otro,,,,,ONU_PIDCP_art4,"(Dated 17 March 1989) Establishment of emergency measures and derogation from articles 9, 12, 17, 19 and 21 throughout Venezuela. The notification stipulates that derogation was effected due to a series of serious breaches of the peace having taken place throughout Caracas and in other cities in the country and outbursts of violence, acts of vandalism and violations of the security of Venezuelan individuals and households, leading to loss of life and the destruction of much property, thus causing a further deterioration in the economic situation of the country. (Dated 31 March 1989) Re-establishment as from 22 March 1989 of the constitutional safeguards which had been suspended as stated in the previous notification of 17 March 1989.","(Dated 17 March 1989) Establishment of emergency measures and derogation from articles 9, 12, 17, 19 and 21 throughout Venezuela. The notification stipulates that derogation was effected due to a series of serious breach"
Venezuela,Venezuela (Bolivarian Republic of),1989-04-12,1989,otro,,,,,ONU_PIDCP_art4,"(Dated 17 March 1989) Establishment of emergency measures and derogation from articles 9, 12, 17, 19 and 21 throughout Venezuela. The notification stipulates that derogation was effected due to a series of serious breaches of the peace having taken place throughout Caracas and in other cities in the country and outbursts of violence, acts of vandalism and violations of the security of Venezuelan individuals and households, leading to loss of life and the destruction of much property, thus causing a further deterioration in the economic situation of the country. (Dated 31 March 1989) Re-establishment as from 22 March 1989 of the constitutional safeguards which had been suspended as stated in the previous notification of 17 March 1989.","(Dated 17 March 1989) Establishment of emergency measures and derogation from articles 9, 12, 17, 19 and 21 throughout Venezuela. The notification stipulates that derogation was effected due to a series of serious breach"
Argentina,Argentina,1989-06-07,1989,declaración,estado de sitio,directo,,,ONU_PIDCP_art4,"(Dated 7 June 1989) Proclamation of the state of siege throughout the national territory for a period of 30 days in response to events [attacks and looting of retail shops, vandalism, use of firearms] whose seriousness jeopardizes the effective enjoyment of human rights and fundamental freedoms by the entire community. (Derogation from articles 9 and 21.)","(Dated 7 June 1989) Proclamation of the state of siege throughout the national territory for a period of 30 days in response to events [attacks and looting of retail shops, vandalism, use of firearms] whose seriousness j"
Argentina,Argentina,1989-07-12,1989,fin/levantamiento,estado de sitio,directo,,,ONU_PIDCP_art4,(Dated 11 July 1989) Termination of the state of siege as from 27 June 1989 throughout the national territory.,(Dated 11 July 1989) Termination of the state of siege as from 27 June 1989 throughout the national territory.
El Salvador,El Salvador,1989-12-19,1989,otro,suspensión de garantías,directo,,,ONU_PIDCP_art4,"(Dated 13 November 1989) Suspension for a period of 30 days as from 12 November 1990 of various constitutional guarantees. (Derogation from articles 12, 17, 19, 21 and 22 of the Covenant.) The notification indicates that this measure became necessary owing the use of terror and violence by the Frente Farabundo Marti to obtain the political authority, in complete disregard of previous elections.","(Dated 13 November 1989) Suspension for a period of 30 days as from 12 November 1990 of various constitutional guarantees. (Derogation from articles 12, 17, 19, 21 and 22 of the Covenant.) The notification indicates that"
Trinidad y Tobago,Trinidad and Tobago,1990-11-06,1990,declaración,estado de emergencia,directo,,,ONU_PIDCP_art4,"(Dated 15 August 1990) Proclamation of state of emergency in the Republic of Trinidad and Tobago as from 28 July 1990 for a period of ninety days and derogation from articles 9, 12, 21 and 14 (3).","(Dated 15 August 1990) Proclamation of state of emergency in the Republic of Trinidad and Tobago as from 28 July 1990 for a period of ninety days and derogation from articles 9, 12, 21 and 14 (3)."
Suriname,Suriname,1991-03-18,1991,fin/levantamiento,estado de emergencia,directo,,,ONU_PIDCP_art4,"Termination, as from 1 September 1989, of the state of emergency declared on 1 December 1986 in the territory of the Districts of Marowijne, Commewijne, Para, Brokopondo and in part of the territory of the district of Sipaliwini (between the Marowijne river and 56 o WLO. The articles of the Covenant being derogated from were articles 12, 21 and 22 of the Covenant.","Termination, as from 1 September 1989, of the state of emergency declared on 1 December 1986 in the territory of the Districts of Marowijne, Commewijne, Para, Brokopondo and in part of the territory of the district of Si"
Colombia,Colombia,1991-08-13,1991,fin/levantamiento,estado de sitio,directo,,,ONU_PIDCP_art4,"(Dated 9 August 1991) Termination as of 7 July 1991 of the state of siege and of the measures adopted on 1 and 2 May 1984, which were still in force through the national territory.","(Dated 9 August 1991) Termination as of 7 July 1991 of the state of siege and of the measures adopted on 1 and 2 May 1984, which were still in force through the national territory."
Venezuela,Venezuela (Bolivarian Republic of),1992-02-05,1992,otro,suspensión de garantías,directo,,,ONU_PIDCP_art4,"(Dated 4 February 1992) Temporary suspension of certain constitutional guarantees throughout Venezuela with a view to facilitating the full restoration of public order throughout the national territory. The Government of Venezuela specified that ""the measures were made necessary after criminal attempt was made to assassinate the President of the Republic with the aim of upsetting the rule of law and undermining the constitutional order of the Re public thereby constituting an attempt against the achievements of the Venezuelan people over more than three decades of fully democratic government"". The constitutional guarantees suspended in Venezuela relate to the rights provided for in articles 9, 12, 17, 19 and 21. The right to strike was also temporarily suspended.",(Dated 4 February 1992) Temporary suspension of certain constitutional guarantees throughout Venezuela with a view to facilitating the full restoration of public order throughout the national territory. The Government of
Venezuela,Venezuela (Bolivarian Republic of),1992-02-05,1992,otro,suspensión de garantías,directo,,,ONU_PIDCP_art4,"(Dated 4 February 1992) Temporary suspension of certain constitutional guarantees throughout Venezuela with a view to facilitating the full restoration of public order throughout the national territory. The Government of Venezuela specified that ""the measures were made necessary after criminal attempt was made to assassinate the President of the Republic with the aim of upsetting the rule of law and undermining the constitutional order of the Re public thereby constituting an attempt against the achievements of the Venezuelan people over more than three decades of fully democratic government"". The constitutional guarantees suspended in Venezuela relate to the rights provided for in articles 9, 12, 17, 19 and 21. The right to strike was also temporarily suspended.",(Dated 4 February 1992) Temporary suspension of certain constitutional guarantees throughout Venezuela with a view to facilitating the full restoration of public order throughout the national territory. The Government of
Venezuela,Venezuela (Bolivarian Republic of),1992-02-24,1992,otro,suspensión de garantías,heredado,,,ONU_PIDCP_art4,"(Dated 21 February 1992) Restoration, as from 17 February 1991, of the guarantees provided for under articles 12 and 19 of the Covenant and also of the right to strike.","(Dated 21 February 1992) Restoration, as from 17 February 1991, of the guarantees provided for under articles 12 and 19 of the Covenant and also of the right to strike."
Venezuela,Venezuela (Bolivarian Republic of),1992-02-24,1992,otro,suspensión de garantías,heredado,,,ONU_PIDCP_art4,"(Dated 21 February 1992) Restoration, as from 17 February 1991, of the guarantees provided for under articles 12 and 19 of the Covenant and also of the right to strike.","(Dated 21 February 1992) Restoration, as from 17 February 1991, of the guarantees provided for under articles 12 and 19 of the Covenant and also of the right to strike."
Venezuela,Venezuela (Bolivarian Republic of),1992-05-06,1992,declaración,estado de emergencia,directo,,,ONU_PIDCP_art4,"(Dated 30 April 1992) Restoration, as from 21 February 1991, of the guarantees provided for in articles 9, 17 and 21 of the Covenant, thereby fully ending the state of emergency declared on 4 February 1992.","(Dated 30 April 1992) Restoration, as from 21 February 1991, of the guarantees provided for in articles 9, 17 and 21 of the Covenant, thereby fully ending the state of emergency declared on 4 February 1992."
Venezuela,Venezuela (Bolivarian Republic of),1992-05-06,1992,declaración,estado de emergencia,directo,,,ONU_PIDCP_art4,"(Dated 30 April 1992) Restoration, as from 21 February 1991, of the guarantees provided for in articles 9, 17 and 21 of the Covenant, thereby fully ending the state of emergency declared on 4 February 1992.","(Dated 30 April 1992) Restoration, as from 21 February 1991, of the guarantees provided for in articles 9, 17 and 21 of the Covenant, thereby fully ending the state of emergency declared on 4 February 1992."
Colombia,Colombia,1992-07-21,1992,declaración,estado de emergencia,directo,,,ONU_PIDCP_art4,"(Dated 16 July 1992) By Legislative Decree No. 1155 of 10 July 1992, which was to remain in force until 16 July 1992, the Government of Colombia declared a state of emergency throughout the national territory.... The state of emergency was proclaimed in order to preserve public order by preventing the cartels responsible for the most serious assaults on public order from evading justice. The prospect of a torrent of releases on parole of persons, many of which ""awaiting trial for a wide vari of terrorist activities, ... in addition to the acts perpetrated by the drug-trafficking cartels which might have taken place under the provisions of a newly promulgated Code of Penal Procedure"", in disregard of the applicability of special legislation, was causing ""serious disturbances of public order"". The provisions of the Pact which were derogated from are articles 12, 17, 21 and 22.","(Dated 16 July 1992) By Legislative Decree No. 1155 of 10 July 1992, which was to remain in force until 16 July 1992, the Government of Colombia declared a state of emergency throughout the national territory.... The sta"
Colombia,Colombia,1992-11-20,1992,declaración,estado de emergencia,directo,,,ONU_PIDCP_art4,"(Dated 10 November 1992) By legislative Decree No. 1793 of 8 November 1992 which was to remain in force until 6 February 1993, the Government of Colombia declared a state of emergency throughout the national territory for a period of 90 days.... The state of emergency was due to the fact that ""in recent weeks, the public order situation in the country ... has grown significantly worse because of terrorist activities by gorilla organizations and organized crime ... Those criminal groups have also managed to obstruct and evade judicial action because the criminal justice is unable to use military forces as a judicial police organ to gather the necessary evidence"". The provisions of the Pact which were derogated from are articles 12, 17, 21 and 22.","(Dated 10 November 1992) By legislative Decree No. 1793 of 8 November 1992 which was to remain in force until 6 February 1993, the Government of Colombia declared a state of emergency throughout the national territory fo"
Venezuela,Venezuela (Bolivarian Republic of),1992-12-02,1992,otro,suspensión de garantías,directo,,,ONU_PIDCP_art4,"(Dated 30 November 1992) On 27 November 1992, certain constitutional guarantees relating to the rights provided for in articles 9, 17, 19 and 21 of the Covenant have been suspended in Venezuela. This measure was made necessary after a group of civil subversives in connivance with a small military squad took over Palo Negro air base in the city of Maracay, Aragua State, and Francisco de Miranda Base in the city of Caracas, which services as Headquarters of the Air Force Command, thereby threatening the democratic system. On 28 November 1992, restoration, as from that date, of the rights provided for in article 21 of the Covenant, so as to allow public electioneering in contemplation of the elections to be held on 6 December 1992.","(Dated 30 November 1992) On 27 November 1992, certain constitutional guarantees relating to the rights provided for in articles 9, 17, 19 and 21 of the Covenant have been suspended in Venezuela. This measure was made nec"
Venezuela,Venezuela (Bolivarian Republic of),1992-12-02,1992,otro,suspensión de garantías,directo,,,ONU_PIDCP_art4,"(Dated 30 November 1992) On 27 November 1992, certain constitutional guarantees relating to the rights provided for in articles 9, 17, 19 and 21 of the Covenant have been suspended in Venezuela. This measure was made necessary after a group of civil subversives in connivance with a small military squad took over Palo Negro air base in the city of Maracay, Aragua State, and Francisco de Miranda Base in the city of Caracas, which services as Headquarters of the Air Force Command, thereby threatening the democratic system. On 28 November 1992, restoration, as from that date, of the rights provided for in article 21 of the Covenant, so as to allow public electioneering in contemplation of the elections to be held on 6 December 1992.","(Dated 30 November 1992) On 27 November 1992, certain constitutional guarantees relating to the rights provided for in articles 9, 17, 19 and 21 of the Covenant have been suspended in Venezuela. This measure was made nec"
Venezuela,Venezuela (Bolivarian Republic of),1993-03-05,1993,declaración,suspensión de garantías,heredado,,,ONU_PIDCP_art4,"Restoration, pursuant to Decree No. 2764 of 16 January 1993, of rights regarding personal liberty corresponding to articles 9 (1) and 11 of the Covenant throughout the national territory. Rights regarding liberty and security of person as well as the inviolability of the home and the right to demonstrate had been restored as from 22 December 1992. Restoration, pursuant to Decree No. 2672 of 1 December 1992 of certain rights which had been suspended by Decree No. 2668 of 27 November 1992. Suspension, pursuant to Decree 2765 of 16 January 1993, of certain rights in the State of Sucre as a result of a breach of the peace in that State. These rights, corresponding to articles 12 (1) and 21, were restored by Decree No. 2780 on 25 January 1993.","Restoration, pursuant to Decree No. 2764 of 16 January 1993, of rights regarding personal liberty corresponding to articles 9 (1) and 11 of the Covenant throughout the national territory. Rights regarding liberty and sec"
Venezuela,Venezuela (Bolivarian Republic of),1993-03-05,1993,declaración,suspensión de garantías,heredado,,,ONU_PIDCP_art4,"Restoration, pursuant to Decree No. 2764 of 16 January 1993, of rights regarding personal liberty corresponding to articles 9 (1) and 11 of the Covenant throughout the national territory. Rights regarding liberty and security of person as well as the inviolability of the home and the right to demonstrate had been restored as from 22 December 1992. Restoration, pursuant to Decree No. 2672 of 1 December 1992 of certain rights which had been suspended by Decree No. 2668 of 27 November 1992. Suspension, pursuant to Decree 2765 of 16 January 1993, of certain rights in the State of Sucre as a result of a breach of the peace in that State. These rights, corresponding to articles 12 (1) and 21, were restored by Decree No. 2780 on 25 January 1993.","Restoration, pursuant to Decree No. 2764 of 16 January 1993, of rights regarding personal liberty corresponding to articles 9 (1) and 11 of the Covenant throughout the national territory. Rights regarding liberty and sec"
Colombia,Colombia,1993-03-29,1993,extensión,estado de emergencia,directo,,,ONU_PIDCP_art4,"(Dated 5 March 1993) In accordance with Legislative Decree No. 261, extension for a period of 90 days from 5 February 1993 until 7 May 1993 of the state of emergencyin effect throughout the national territory. The extension was made necessary due to a continuation of the public order disturbances described above. The provisions of the Pact which were derogated from are articles 12, 17, 21 and 22.","(Dated 5 March 1993) In accordance with Legislative Decree No. 261, extension for a period of 90 days from 5 February 1993 until 7 May 1993 of the state of emergencyin effect throughout the national territory. The extens"
